Who is the face of Valorant??,General Discussion,0,195,"April 9, 2022 at 12:24 AM AEST"
the most overrated player is f0rsaken,General Discussion,0,80,"April 16, 2022 at 4:56 AM AEST"
Lets Go Forsaken Baby??,General Discussion,1,6,"April 23, 2022 at 6:15 AM AEST"
Vandal,General Discussion,0,27,"May 1, 2022 at 11:50 PM AEST"
PlatChat Tierlist,General Discussion,0,30,"June 30, 2022 at 5:36 AM AEST"
PRX would sh1t on FNC,General Discussion,0,89,"July 16, 2022 at 5:14 PM AEST"
Forsaken 67% HS%,General Discussion,3,6,"July 23, 2022 at 2:01 AM AEST"
Whats the best Operator skin in your opinion?,General Discussion,0,48,"August 24, 2022 at 7:59 PM AEST"
rrq forsaken,General Discussion,0,6,"November 16, 2022 at 12:27 AM AEDT"
PRX,General Discussion,0,10,"February 16, 2023 at 2:12 AM AEDT"
APAC/PACIFIC is not so doomed after all,General Discussion,0,51,"February 18, 2023 at 4:25 PM AEDT"
Something's Jett vs f0rsaken's Jett,General Discussion,0,35,"March 4, 2023 at 5:30 PM AEDT"
f0rsakeN and something lost to a GE player,General Discussion,0,62,"March 14, 2023 at 2:45 AM AEDT"
Chamber destroyed 1 year of valorant pros...,General Discussion,43,108,"April 4, 2023 at 7:30 AM AEST"
Best duelist 2023 09:21,General Discussion,0,49,"April 25, 2023 at 5:30 PM AEST"
What skin should I buy?,General Discussion,0,25,"May 18, 2023 at 8:55 PM AEST"
Make your own team (2),General Discussion,0,54,"June 7, 2023 at 10:52 PM AEST"
f0rsakeN one of the best flex in the world?,General Discussion,5,17,"June 20, 2023 at 6:06 PM AEST"
Is sthing really important ???,General Discussion,0,28,"June 20, 2023 at 8:02 PM AEST"
Forsaken discipline,General Discussion,4,6,"June 21, 2023 at 7:03 PM AEST"
Asian super team ...,General Discussion,3,30,"June 22, 2023 at 12:31 AM AEST"
Top 10 Best Jetts?,General Discussion,0,62,"June 25, 2023 at 1:28 PM AEST"
vlr users who are your top 10 pro valorant players,General Discussion,0,51,"June 27, 2023 at 3:44 PM AEST"
This or that ? (2),General Discussion,0,29,"June 30, 2023 at 4:51 PM AEST"
PRX Subreezy,Off Topic,10,19,"July 19, 2023 at 7:55 AM AEST"
what player comes to mind when u think of a agent,General Discussion,0,25,"July 31, 2023 at 3:17 PM AEST"
Watching jing and forsaken,General Discussion,3,6,"August 4, 2023 at 2:32 PM AEST"
Who is the flexiest player,General Discussion,0,27,"August 13, 2023 at 3:29 AM AEST"
Make Your Own INTERNATIONAL SUPER TEAM,General Discussion,1,57,"August 13, 2023 at 11:57 AM AEST"
rough TOP 10 PLAYERS OF THE YEAR (VCT 2023),General Discussion,0,46,"August 28, 2023 at 10:49 AM AEST"
The TRUE OWNER,General Discussion,1,91,"November 19, 2023 at 7:26 AM AEDT"
Pacific is a 2 player region,General Discussion,0,20,"December 7, 2023 at 8:59 PM AEDT"
Forsaken Family,General Discussion,4,6,"March 18, 2024 at 3:21 PM AEDT"
Respect chronicle,General Discussion,2,14,"March 27, 2024 at 1:34 AM AEDT"
Top 5 Flex Valo History,General Discussion,0,27,"April 7, 2024 at 2:43 AM AEDT"
Sacy’s ideal player FIXED,General Discussion,0,30,"April 13, 2024 at 4:59 AM AEST"
something raze,General Discussion,0,16,"April 19, 2024 at 2:41 AM AEST"
Super Team,General Discussion,1,32,"April 22, 2024 at 11:49 PM AEST"
World's top 3 players (current),General Discussion,4,72,"April 25, 2024 at 7:18 AM AEST"
Most used vandal skins this year in pro play,General Discussion,1,20,"May 11, 2024 at 2:06 AM AEST"
2 of the top 3 players at shanghai in 1 image,General Discussion,0,37,"May 13, 2024 at 10:46 AM AEST"
Chron > f0rsaken,General Discussion,9,36,"August 16, 2024 at 8:49 PM AEST"
Chronicle Goat flex,General Discussion,0,15,"August 18, 2024 at 8:07 PM AEST"
GOAT debate,General Discussion,1,73,"August 19, 2024 at 3:27 AM AEST"
Goat List,General Discussion,0,42,"August 20, 2024 at 12:12 PM AEST"
Dream team,General Discussion,0,62,"March 14, 2025 at 5:37 AM AEDT"
better PRX roleswap,General Discussion,0,28,"March 25, 2025 at 6:44 PM AEDT"
forsaken and yay,General Discussion,1,5,"July 23, 2022 at 1:47 AM AEST"
Forsaken is a genius,General Discussion,0,5,"April 11, 2023 at 11:40 AM AEST"
Forsaken Vs Something,General Discussion,0,5,"April 15, 2023 at 7:27 PM AEST"
FUCK FORSAKEN,General Discussion,0,5,"August 25, 2023 at 6:03 AM AEST"
INDIA >> EU,General Discussion,0,59,"September 14, 2021 at 3:22 AM AEST"
Is Forsaken getting bullied,General Discussion,0,5,"September 15, 2021 at 11:31 PM AEST"
"PRX Shiba benched, Jing to play on starting roster",General Discussion,4,15,"September 28, 2021 at 9:19 PM AEST"
Who is the best APAC Frag demon?,General Discussion,2,22,"December 18, 2021 at 11:10 PM AEDT"
What is the best Vandal skin,General Discussion,0,30,"January 5, 2022 at 6:41 PM AEDT"
best player from each region,General Discussion,0,41,"March 25, 2022 at 1:13 PM AEDT"
Forsaken and jingg,Off Topic,0,5,"March 25, 2022 at 5:32 PM AEDT"
Check Forsaken's PC,General Discussion,1,5,"April 19, 2022 at 8:45 AM AEST"
The Misunderstanding of Paper Rex,General Discussion,36,36,"April 19, 2022 at 9:33 AM AEST"
Top 5 Duelists rn (RESONABLE HUMANS COME),General Discussion,6,57,"May 22, 2022 at 6:07 AM AEST"
Team with the most firepower?,General Discussion,0,55,"June 13, 2022 at 2:35 AM AEST"
Tiers of teams at masters (must read),General Discussion,0,72,"June 26, 2022 at 3:46 AM AEST"
Odds on PRX vs FNC,General Discussion,4,48,"July 16, 2022 at 12:59 PM AEST"
YORU,General Discussion,2,32,"July 17, 2022 at 2:20 AM AEST"
PRX gonna fall apart next year? :((((,General Discussion,0,42,"July 20, 2022 at 1:26 PM AEST"
Suygetsu best player of the tournament,General Discussion,0,10,"July 23, 2022 at 4:22 PM AEST"
Best players in the world atm,General Discussion,5,32,"August 15, 2022 at 5:38 AM AEST"
What would your VAL Roster be,General Discussion,0,73,"August 23, 2022 at 11:11 PM AEST"
create ur dream collection,General Discussion,0,21,"August 24, 2022 at 8:28 PM AEST"
Liquid vs prx,General Discussion,1,28,"September 5, 2022 at 2:16 PM AEST"
aspas/yay,General Discussion,0,18,"September 28, 2022 at 6:08 PM AEST"
Players - Signature Gun,General Discussion,0,42,"October 20, 2022 at 10:30 PM AEDT"
Ashamed to be Indiana.,General Discussion,2,16,"November 18, 2022 at 6:16 PM AEDT"
Jinggg or F0rsaken,General Discussion,2,30,"November 23, 2022 at 7:59 PM AEDT"
forsaken is the problem?,General Discussion,0,5,"December 24, 2022 at 5:15 PM AEDT"
best duelists,General Discussion,0,53,"February 6, 2023 at 4:29 AM AEDT"
forsaken sova,General Discussion,0,5,"April 22, 2023 at 6:06 PM AEST"
Best pro for every agent,General Discussion,0,37,"May 7, 2023 at 1:07 PM AEST"
forsaken Jett,General Discussion,1,5,"June 17, 2023 at 3:51 PM AEST"
woke up to nrg losing ?,General Discussion,0,16,"June 22, 2023 at 3:00 AM AEST"
TOP 10 PLAYERS ITW(current),General Discussion,0,49,"June 22, 2023 at 4:35 AM AEST"
superteam,General Discussion,0,23,"June 23, 2023 at 1:30 AM AEST"
Players I associate with for Every Agent,General Discussion,0,20,"June 23, 2023 at 1:59 PM AEST"
Yay should switch roles ngl,General Discussion,0,31,"July 17, 2023 at 11:13 PM AEST"
actual top 10 players of 2023 list,General Discussion,0,26,"July 22, 2023 at 10:39 PM AEST"
Teabagging forsaken,General Discussion,0,5,"August 10, 2023 at 5:23 AM AEST"
FORSAKEN ASTRA,General Discussion,1,5,"August 20, 2023 at 5:09 AM AEST"
PRX fans come,General Discussion,0,21,"August 20, 2023 at 6:41 PM AEST"
Who is the best flex player right now?,General Discussion,0,37,"August 28, 2023 at 12:31 AM AEST"
Send Nn... help!,Off Topic,0,41,"October 11, 2023 at 12:15 PM AEDT"
Urgent question,Off Topic,0,10,"December 19, 2023 at 12:18 PM AEDT"
2024 Best Agent Players Predictions,General Discussion,0,44,"January 4, 2024 at 2:28 AM AEDT"
Top3 Players in the World for these Agents?,General Discussion,0,20,"January 16, 2024 at 3:43 AM AEDT"
HOT TAKE,General Discussion,1,17,"March 16, 2024 at 1:45 AM AEDT"
feels bad for forsaken,General Discussion,1,5,"March 16, 2024 at 4:46 AM AEDT"
forsaken 1v5ed???,General Discussion,1,5,"March 16, 2024 at 6:41 AM AEDT"
Paper rex real fix,General Discussion,0,56,"March 16, 2024 at 2:34 PM AEDT"
Best clips so far,General Discussion,1,20,"March 20, 2024 at 3:10 PM AEDT"
Less is by far the best player in the world atm,General Discussion,0,19,"March 21, 2024 at 5:06 PM AEDT"
Young Aspas,General Discussion,1,30,"March 24, 2024 at 4:00 AM AEDT"
What if benkai stayed on prx?,General Discussion,0,14,"March 24, 2024 at 5:59 AM AEDT"
"truth about ""flex"" players",General Discussion,12,35,"March 28, 2024 at 1:59 AM AEDT"
Pro Players Skins,General Discussion,0,14,"April 8, 2024 at 8:11 AM AEST"
emea has the best player for almost every agent...,General Discussion,0,61,"April 25, 2024 at 10:24 AM AEST"
All time best players by role,General Discussion,1,32,"April 25, 2024 at 2:39 PM AEST"
goat team,General Discussion,0,22,"May 7, 2024 at 3:17 PM AEST"
Goat of every role,General Discussion,0,38,"May 13, 2024 at 6:51 AM AEST"
Chronicle >>>>> F0rsaken by far,General Discussion,0,67,"May 13, 2024 at 7:01 AM AEST"
"forsaken,victor,rb neon",General Discussion,0,5,"June 5, 2024 at 11:32 PM AEST"
Jingg,General Discussion,42,90,"July 13, 2024 at 6:28 PM AEST"
PRX Ascent,General Discussion,0,17,"July 13, 2024 at 6:54 PM AEST"
f0rsakeN PLZ,General Discussion,1,57,"July 14, 2024 at 12:29 AM AEST"
Paper Rex need to be less flexible,General Discussion,4,11,"July 23, 2024 at 12:31 AM AEST"
Champs VLR Fantasy League,General Discussion,14,86,"July 31, 2024 at 2:57 AM AEST"
Come make your best roster,General Discussion,0,24,"September 12, 2024 at 11:49 AM AEST"
This or That (player edition),General Discussion,0,26,"September 20, 2024 at 7:32 PM AEST"
If I was HC of PRX...,General Discussion,2,62,"October 18, 2024 at 12:26 PM AEDT"
PRX fix,General Discussion,0,31,"October 22, 2024 at 2:20 PM AEDT"
Valorant Fantasy Draft,General Discussion,0,23,"October 27, 2024 at 3:06 PM AEDT"
