Kingsmen vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,loss,Paper Rex,Kingsmen,0,3,04/04/2021,11:15
Team 600 vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,win,Paper Rex,Team 600,2,0,04/04/2021,9:00
Paper Rex vs. Team SMG,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,win,Paper Rex,Team SMG,1,0,03/04/2021,19:30
Paper Rex vs. Team LZ,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,win,Paper Rex,Team LZ,1,0,03/04/2021,15:40
Team 600 vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,loss,Paper Rex,Team 600,1,2,03/04/2021,12:00
Paper Rex vs. Zero Synergy,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,win,Paper Rex,Zero Synergy,2,0,02/04/2021,16:50
Paper Rex vs. Team 600,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,win,Paper Rex,Team 600,2,1,27/03/2021,14:00
Paper Rex vs. Running Dogs,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,win,Paper Rex,Running Dogs,2,0,27/03/2021,10:30
Team SMG vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 1: Challengers 3,loss,Paper Rex,Team SMG,0,1,13/03/2021,18:05
Team 600 vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 1: Challengers 3,win,Paper Rex,Team 600,1,0,13/03/2021,14:00
Timing Monster Gaming vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 1: Challengers 3,loss,Paper Rex,Timing Monster Gaming,1,2,13/03/2021,9:00
Paper Rex vs. Louvre,Champions Tour Malaysia & Singapore Stage 1: Challengers 3,win,Paper Rex,Louvre,2,0,12/03/2021,12:00
Paper Rex vs. NG.Black,eFire Master League #1 Asia,win,Paper Rex,NG.Black,2,1,10/03/2021,21:00
Timing Monster Gaming vs. Paper Rex,eFire Master League #1 Asia,win,Paper Rex,Timing Monster Gaming,2,0,09/03/2021,18:00
Paper Rex vs. Todak,eFire Master League #1 Asia,win,Paper Rex,Todak,2,0,08/03/2021,18:00
Paper Rex vs. NG.Black,eFire Master League #1 Asia,win,Paper Rex,NG.Black,2,1,02/03/2021,21:00
Reality Rift vs. Paper Rex,Champions Tour Malaysia & Singapore Stage 1: Challengers 2,loss,Paper Rex,Reality Rift,0,1,27/02/2021,18:05
